from,to,relation
platzeck,spd,3
platzeck,kk,2
pofalla,cdu,2
pofalla,db,1
pofalla,kk,2
praetorius,htw,1
praetorius,kk,2
praetorius,agora,3
tillich,kk,2
tillich,cdu,1
hasselfeldt,drk,1
hasselfeldt,kk,2
hasselfeldt,cdu,2
kampeter,bda,1
kampeter,kk,2
kampeter,cdu,2
kapferer,bdew,1
kapferer,kk,2
kapferer,fdp,2
kempf,bdi,1
kempf,datev,3
kempf,kk,2
kempf,bitkom,3
nemat,telekom,1
nemat,kk,2
nemat,mckinsey,3
reiche,cdu,2
reiche,kk,2
reiche,vku,1
roestel,enbw,1
roestel,kk,2
roestel,gruene,2
schweitzer,diht,1
schweitzer,kk,2
schweitzer,alba,1
schweitzer,fdp,3
schweitzer,ihk,3
grothus,kk,2
grothus,bfb,2
wodtke,kk,2
wodtke,cdu,1
herntier,kk,2
herntier,spremberger,3
kreuzberg,kk,2
kreuzberg,cdu,1
priggen,kk,2
priggen,gruene,1
priggen,leenrw,1
vassiliadis,kk,2
vassiliadis,igbce,1
scheidt,verdi,1
scheidt,kk,2
scheidt,spd,2
scheidt,eon,2
koerzell,dgb,1
koerzell,kk,2
koerzell,spd,2
kaiser,kk,2
kaiser,greenpeace,1
weiger,kk,2
weiger,bund,1
niebert,kk,2
niebert,dnr,1
allmendinger,kk,3
allmendinger,iab,2
allmendinger,spd,2
allmendinger,wzb,1
schoenefeld,kk,2
schoenefeld,spd,3
schoenefeld,ba,1
matthes,kk,2
matthes,oekoinstitut,1
schellnhuber,kk,2
schellnhuber,klimafolge,1
schellnhuber,stockholm,1
schellnhuber,wbgu,3
schellnhuber,ipcc,2
niebuhr,kk,2
niebuhr,iab,1
wehrspohn,kk,2
wehrspohn,fraunhofer,1
laemmel,kk,2
laemmel,cdu,1
lenz,kk,2
lenz,cdu,1
miersch,kk,2
miersch,spd,1